name,img,url
立枯病,http://www.cgris.net/disease/05－豆类/images/0369%20蚕豆立枯病.jpg,http://www.cgris.net/disease/05－豆类/0369%20蚕豆立枯病.htm
核盘菌茎腐病 ,http://www.cgris.net/disease/05－豆类/images/0380%20蚕豆核盘菌茎腐病.jpg,http://www.cgris.net/disease/05－豆类/0380%20蚕豆核盘菌茎腐病.htm
截形叶蜗和朱砂叶瞒,http://www.cgris.net/disease/05－豆类/images/0579%20谷子灰螟幼虫蛀害粟（谷子）茎秆状.jpg,http://www.cgris.net/disease/05－豆类/0597、0599%20截形叶蜗和朱砂叶瞒.htm
赤斑病,http://www.cgris.net/disease/05－豆类/images/0370%20蚕豆赤斑病病叶.jpg,http://www.cgris.net/disease/05－豆类/0370%20蚕豆赤斑病.htm
镰刀菌萎蔫病,http://www.cgris.net/disease/05－豆类/images/0381%20蚕豆镰刀菌萎蔫病病株.jpg,http://www.cgris.net/disease/05－豆类/0381%20蚕豆镰刀菌萎蔫病.htm
豆蚜,http://www.cgris.net/disease/05－豆类/images/0657%20豌豆-豆蚜为害豌豆.jpg,http://www.cgris.net/disease/05－豆类/0657%20豆蚜.htm
褐斑病,http://www.cgris.net/disease/05－豆类/images/0371%20蚕豆褐斑病初期病斑.jpg,http://www.cgris.net/disease/05－豆类/0371-0372%20蚕豆褐斑病.htm
茎疫病,http://www.cgris.net/disease/05－豆类/images/0382%20蚕豆茎疫病.jpg,http://www.cgris.net/disease/05－豆类/0382%20蚕豆茎疫病.htm
豌豆彩潜蝇,http://www.cgris.net/disease/05－豆类/images/0658%20豌豆彩潜蝇幼虫为害.jpg,http://www.cgris.net/disease/05－豆类/0658-0659%20豌豆彩潜蝇.htm
轮纹病,http://www.cgris.net/disease/05－豆类/images/0373%20蚕豆轮纹病初期病斑.jpg,http://www.cgris.net/disease/05－豆类/0373-0374%20蚕豆轮纹病.htm
染色病毒病,http://www.cgris.net/disease/05－豆类/images/0383%20蚕豆（BBSV）染色病毒症状.jpg,http://www.cgris.net/disease/05－豆类/蚕豆(BBSV)染色病毒病.htm
美洲斑潜蝇,http://www.cgris.net/disease/05－豆类/images/0660%20豆类-美洲斑潜蝇幼虫和成虫.jpg,http://www.cgris.net/disease/05－豆类/0660%20美洲斑潜蝇.htm
白粉病,http://www.cgris.net/disease/05－豆类/images/0375%20蚕豆白粉病病叶.jpg,http://www.cgris.net/disease/05－豆类/0375%20蚕豆白粉病.htm
南美斑潜蝇（拉美斑潜蝇）,http://www.cgris.net/disease/05－豆类/images/0661%20豆类-南美斑潜蝇幼虫、成虫和卵.jpg,http://www.cgris.net/disease/05－豆类/0661%20南美斑潜蝇（拉美斑潜蝇）.htm
锈病,http://www.cgris.net/disease/05－豆类/images/0376%20蚕豆锈病病叶.jpg,http://www.cgris.net/disease/05－豆类/0376%20蚕豆锈病.htm
花叶病,http://www.cgris.net/disease/05－豆类/images/0384%20蚕豆（BYMV）花叶病黄化型症状.jpg,http://www.cgris.net/disease/05－豆类/蚕豆(BYMV)花叶病.htm
豆荚斑螟,http://www.cgris.net/disease/05－豆类/images/0662%20豆类-豆荚斑螟成虫和幼虫.jpg,http://www.cgris.net/disease/05－豆类/0662%20豆荚斑螟.htm
疫病,http://www.cgris.net/disease/05－豆类/images/0377%20蚕豆疫病病株.jpg,http://www.cgris.net/disease/05－豆类/0377%20蚕豆疫病.htm
豆小卷叶蛾,http://www.cgris.net/disease/05－豆类/images/0663%20豆类-豆小卷叶蛾幼虫.jpg,http://www.cgris.net/disease/05－豆类/0663%20豆小卷叶蛾.htm
根腐病和茎基腐病 ,http://www.cgris.net/disease/05－豆类/images/0378%20蚕豆根腐病根颈部症状.jpg,http://www.cgris.net/disease/05－豆类/0378-0379%20蚕豆根腐病和茎基腐病.htm
二条叶甲 ,http://www.cgris.net/disease/05－豆类/images/0664%20豆类-二条叶甲成虫放大.jpg,http://www.cgris.net/disease/05－豆类/0664%20二条叶甲.htm
